lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,0.0,39.6,12,5.75,4.17,17.16,15.313487267354262
45,50,0.77,44.0,8,3.5,5.0,24.11,22.059919798977994
0,0,0.0,39.1,16,4.19,9.38,9.16,9.165279602118787
80,60,1.5,43.7,16,4.19,9.38,16.36,16.357110654943565
55,30,1.0,44.2,12,5.75,4.17,17.07,17.373232359415475
0,0,0.0,45.28,12,5.75,5.0,20.0,18.81233177722917
40,30,0.75,43.36,14,2.86,5.0,11.24,11.261571214220902
40,30,1.0,26.8,14,3.93,5.0,10.82,10.69486914343591
0,0,0.0,45.28,16,4.19,7.0,10.05,9.830657267244298
60,30,2.0,29.0,12,6.58,8.0,17.68,17.669074137783642
40,32,2.0,45.75,14,6.0,5.0,16.81,16.925741456060614
40,30,0.25,24.88,14,5.0,5.0,10.04,10.03030595559068
0,0,0.0,60.32,14,3.93,5.0,13.41,13.411317094096608
64,35,1.0,65.7,16,4.19,5.0,29.38,29.350841985454945
65,60,0.5,55.2,12,5.75,4.17,19.43,19.41733256679762
55,30,2.0,57.6,12,5.75,4.17,24.62,24.655385827567404
55,30,2.0,45.2,12,5.75,4.17,20.4,18.852243139531684
55,30,0.0,50.8,12,5.75,4.17,17.07,17.87297387507882
0,0,0.0,48.0,12,5.0,5.0,23.92,24.04205652193717
80,60,0.13,41.92,14,3.93,5.0,12.31,12.316637779709657
40,32,1.2,48.35,14,6.0,5.0,17.83,17.735934309341314
65,35,1.0,44.59,16,4.19,5.0,19.15,18.130132410400357
65,60,1.0,46.8,16,4.19,9.38,15.4,15.414369337652683
80,60,0.7,44.0,16,4.19,9.38,14.92,14.921803832628157
0,0,0.0,60.32,14,2.86,5.0,12.7,12.693016680294395
80,60,0.25,42.16,14,2.86,5.0,11.17,11.229934866678379
55,30,1.0,56.4,12,5.75,4.17,19.22,22.77248694026136
40,30,0.5,25.52,14,5.0,5.0,10.26,10.288893677496946
65,35,0.75,42.02,12,5.75,5.0,21.32,18.67422603527975
80,50,0.51,32.0,20,3.25,5.0,11.22,11.795105838432344
80,50,0.51,48.0,12,3.5,5.0,23.9,23.83674957316667
40,30,0.38,62.96,14,5.0,5.0,15.53,15.545375260491015
64,35,0.5,64.36,16,4.19,5.0,23.75,23.760409893282425
50,20,2.0,24.0,16,1.84,4.69,7.21,6.120995988342148
